county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp,cluster
Adams,Illinois,39.9878781,-91.18853522,66949,78.28413304,14.77251796,15.45718712,36.6,27.6,19.67664752,26.95456851,5.236587005,91.51077038,68.06829766,32893,15.9,14.64504635,346.2692886,10.9948605,0.972834068,1.046255507,78.28820268,10.52273821,11.81446331,11.0,11.1,28.81150991,2.793094482,55174.0,53.60199328,98.74137798,71.67032967,9.81696546,22.49775464,20.23108188,0.18938482,50.81822472,32.59913864,26053.0,0.3244,0.4368,0.369,0.1748,0.29,0.6332,0.5215,0.3337,0.6348,0.5903,0.2849,0.2365,0.2225,0.7084,0.1869,0.1573,0.6154,0.5486,0.3372,0.2776,33.60727273,76.29868852,2
Alexander,Illinois,37.19152472,-89.33756723,7051,29.9378774,24.27254001,21.55191863,26.2,22.6,14.51238125,51.6028147,6.365124847,92.54711539,41.54175589,2153,44.5,12.6682502,1316.354271,17.55424063,2.91913215,0.946745562,74.44544154,14.83739879,15.42246464,7.9,22.2,36.43294075,2.209063385,35249.0,91.54589372,66.1085307,71.28712871,15.5210643,23.06930693,21.91419142,0.098814229,51.61716172,61.85967468,16067.0,0.9806,0.9293,0.9723,0.9398,0.9838,0.6507,0.6883,0.9417,0.9577,0.9984,0.7975,0.1805,0.4858,0.7931,0.6622,0.7921,0.9475,0.765,0.9943,0.9959,35.94727273,77.81114754,1
Bond,Illinois,38.88683973,-89.43556006,17137,45.06427457,15.59846691,16.57100852,25.5,24.9,20.24765573,17.88289588,6.612251628,91.73182527,61.9995205,7929,18.3,11.21076233,39.24646782,13.63636364,2.561983471,1.570247934,78.64610173,10.86962865,11.9751979,4.3,11.1,31.00416211,2.976485703,54800.0,46.54867257,34.31851164,77.48472178,7.494575196,19.44678292,18.55682502,0.207000376,48.0156344,60.73840612,23660.0,0.5536,0.3677,0.5482,0.454,0.4881,0.4476,0.1888,0.5718,0.2203,0.1337,0.4193,0.1977,0.2725,0.5966,0.6068,0.6912,0.6587,0.928,0.929,0.4938,35.17127273,74.74392857,2
Boone,Illinois,42.32306094,-88.82336484,53656,191.1266097,15.61434201,15.13581948,33.4,26.6,20.0023772,17.80250348,7.501940348,91.25632777,58.53345113,26473,13.5,6.540466803,170.9082419,13.85493073,2.472154306,0.190165716,79.45642525,10.47634997,11.32551311,9.6,7.7,30.90931551,2.835316158,74507.0,43.23343358,93.61367992,79.79819551,11.05177112,24.79235493,15.83515314,3.616650839,50.00653265,19.36305733,27825.0,0.2127,0.7036,0.2592,0.5603,0.4241,0.1684,0.8981,0.0907,0.8249,0.4591,0.6476,0.8797,0.8163,0.6476,0.2114,0.6692,0.2763,0.063,0.199,0.4339,31.60752061,75.03737705,3
Brown,Illinois,39.96183392,-90.75035135,6836,22.36861291,15.60150068,16.96256909,23.4,23.2,23.06851335,28.40236686,3.624733476,92.5,48.67021277,2896,14.8,10.42287076,134.3947069,7.746478873,2.816901409,0.0,77.89872326,10.31640435,10.81154339,4.6,10.9,32.84603125,2.718618721,55327.0,84.52054795,60.1734223,75.89841878,4.160475483,15.8785845,13.9261745,0.734375,35.25015253,41.06962664,21822.0,0.2455,0.2588,0.694,0.5683,0.4355,0.1449,0.0159,0.1445,0.3356,0.0156,0.6266,0.4088,0.5193,0.4059,0.4518,0.7154,0.5339,0.9911,0.7991,0.334,33.64981818,75.81344262,2
Bureau,Illinois,41.40415185,-89.52867917,33822,38.91912165,15.16562245,14.71160473,27.4,30.4,19.69558092,18.02431186,6.071332384,83.99439508,58.38414634,17390,17.1,16.54483651,131.6937723,10.9882269,1.534070639,0.606493043,78.62918334,10.52426466,11.68148322,11.1,9.4,31.14007801,2.937412975,56099.0,50.21467603,69.91894472,76.34190511,9.270880024,21.45303549,21.91677022,1.264222503,50.90170642,57.39035966,27332.0,0.3362,0.5116,0.2865,0.2477,0.3088,0.7529,0.4209,0.3025,0.6851,0.6173,0.3954,0.6227,0.5078,0.6046,0.1461,0.3604,0.5193,0.2681,0.2139,0.3219,31.23424788,75.83471698,2
Calhoun,Illinois,39.16925024,-90.6675377,4962,19.5489341,13.69214692,14.82506582,36.2,23.4,19.54381552,15.3531218,5.988184748,86.41034483,70.53941909,2340,15.3,0.0,133.3454122,9.302325581,2.273901809,0.206718346,83.30910094,10.10772126,11.58334434,8.2,10.2,30.19770087,3.282117736,56099.0,42.3670669,4.283903111,83.98891967,11.0787172,20.63723449,23.34443982,0.021720243,50.16659725,100.0,25341.0,0.2869,0.3422,0.4177,0.1687,0.2633,0.8784,0.304,0.6437,0.0293,0.369,0.0111,0.0,0.0057,0.1191,0.4935,0.6046,0.4537,0.5651,0.3467,0.1611,34.29818182,79.05672131,0
Carroll,Illinois,42.06869511,-89.93439675,14793,33.23800448,13.53228852,14.34995941,25.1,28.3,18.97435309,24.03156385,6.983394834,93.57191489,57.06594886,7525,17.0,15.84240254,46.85120837,10.45112782,1.203007519,0.52631579,79.3776071,9.99846473,11.33992795,8.3,9.7,28.00330767,3.09317614,51963.0,41.86256781,59.02707469,76.23533045,8.925991331,19.37534936,25.51006149,0.384280743,50.13275573,81.87430948,27325.0,0.2321,0.3964,0.2875,0.2477,0.249,0.886,0.1576,0.4107,0.1834,0.2254,0.2264,0.531,0.3543,0.5642,0.1751,0.2404,0.4537,0.3594,0.1732,0.1665,30.4464297,73.22622951,0
Cass,Illinois,39.97357618,-90.24742647,13068,34.77282009,17.31809673,15.9206666,34.7,26.9,19.70301273,38.79149571,8.503599922,84.84736,46.2962963,6162,15.8,13.59456218,518.054589,9.365853659,2.43902439,1.463414634,77.44898436,11.0059103,12.03405098,6.8,8.6,30.72496984,2.498333348,52486.0,64.47140381,31.34797517,74.6616242,6.676312526,23.80097879,17.84665579,6.162937949,49.49429038,52.13311831,25010.0,0.3852,0.7453,0.447,0.5861,0.561,0.3999,0.7666,0.2763,0.6963,0.6008,0.6202,0.9284,0.8287,0.5498,0.5807,0.646,0.5801,0.3381,0.5874,0.681,33.50072727,75.11934426,2
Champaign,Illinois,40.14009803,-88.1992076,206420,207.1999458,16.33273794,15.76518125,30.8,22.1,20.56380615,12.83684188,6.059115636,86.29738524,79.98687541,105669,17.5,11.89117427,487.2054149,19.79114868,3.294380905,0.845350572,80.52904975,11.4578616,12.14908995,9.3,15.0,29.26815033,2.966208053,53251.0,50.70562909,213.9318367,53.63337737,17.21814121,18.77961549,12.82484773,1.863580075,50.17025188,12.71030082,27373.0,0.8138,0.3018,0.2833,0.0325,0.3228,0.0538,0.1213,0.0242,0.4565,0.0172,0.7096,0.7393,0.7736,0.9838,0.1566,0.8179,0.9411,0.8978,0.9841,0.4741,34.50024788,75.25934426,3
