variable1,variable2,correlation_value
total_population,total_population,1
population_density_per_sqmi,population_density_per_sqmi,1
percent_fair_or_poor_health,percent_fair_or_poor_health,1
percent_smokers,percent_smokers,1
percent_adults_with_obesity,percent_adults_with_obesity,1
percent_physically_inactive,percent_physically_inactive,1
percent_excessive_drinking,percent_excessive_drinking,1
teen_birth_rate,teen_birth_rate,1
percent_uninsured,percent_uninsured,1
high_school_graduation_rate,high_school_graduation_rate,1
percent_some_college,percent_some_college,1
labor_force,labor_force,1
percent_children_in_poverty,percent_children_in_poverty,1
eightieth_percentile_income,eightieth_percentile_income,1
twentieth_percentile_income,twentieth_percentile_income,1
income_ratio,income_ratio,1
num_associations,num_associations,1
social_association_rate,social_association_rate,1
violent_crime_rate,violent_crime_rate,1
percent_severe_housing_problems,percent_severe_housing_problems,1
overcrowding,overcrowding,1
inadequate_facilities,inadequate_facilities,1
percent_drive_alone_to_work,percent_drive_alone_to_work,1
percent_long_commute_drives_alone,percent_long_commute_drives_alone,1
life_expectancy,life_expectancy,1
percent_frequent_physical_distress,percent_frequent_physical_distress,1
percent_frequent_mental_distress,percent_frequent_mental_distress,1
percent_adults_with_diabetes,percent_adults_with_diabetes,1
percent_food_insecure,percent_food_insecure,1
percent_limited_access_to_healthy_foods,percent_limited_access_to_healthy_foods,1
percent_insufficient_sleep,percent_insufficient_sleep,1
average_grade_performance,average_grade_performance,1
median_household_income,median_household_income,1
percent_enrolled_in_free_or_reduced_lunch,percent_enrolled_in_free_or_reduced_lunch,1
average_traffic_volume_per_meter_of_major_roadways,average_traffic_volume_per_meter_of_major_roadways,1
percent_homeowners,percent_homeowners,1
percent_severe_housing_cost_burden,percent_severe_housing_cost_burden,1
percent_less_than_18_years_of_age,percent_less_than_18_years_of_age,1
percent_65_and_over,percent_65_and_over,1
percent_black,percent_black,1
percent_american_indian_alaska_native,percent_american_indian_alaska_native,1
percent_asian,percent_asian,1
percent_native_hawaiian_other_pacific_islander,percent_native_hawaiian_other_pacific_islander,1
percent_hispanic,percent_hispanic,1
percent_non_hispanic_white,percent_non_hispanic_white,1
percent_not_proficient_in_english,percent_not_proficient_in_english,1
percent_female,percent_female,1
percent_rural,percent_rural,1
num_housing_units,num_housing_units,1
num_households_CDC,num_households_CDC,1
per_capita_income,per_capita_income,1
percent_below_poverty,percent_below_poverty,1
percent_unemployed_CDC,percent_unemployed_CDC,1
percent_no_highschool_diploma,percent_no_highschool_diploma,1
percent_age_65_and_older,percent_age_65_and_older,1
percent_age_17_and_younger,percent_age_17_and_younger,1
percent_disabled,percent_disabled,1
percent_single_parent_households_CDC,percent_single_parent_households_CDC,1
percent_minorities,percent_minorities,1
percent_limited_english_abilities,percent_limited_english_abilities,1
percent_multi_unit_housing,percent_multi_unit_housing,1
percent_mobile_homes,percent_mobile_homes,1
percent_overcrowding,percent_overcrowding,1
percent_no_vehicle,percent_no_vehicle,1
percent_institutionalized_in_group_quarters,percent_institutionalized_in_group_quarters,1
percentile_rank_below_poverty,percentile_rank_below_poverty,1
percentile_rank_unemployed,percentile_rank_unemployed,1
percentile_rank_per_capita_income,percentile_rank_per_capita_income,1
percentile_rank_no_highschool_diploma,percentile_rank_no_highschool_diploma,1
percentile_rank_socioeconomic_theme,percentile_rank_socioeconomic_theme,1
percentile_rank_age_65_and_older,percentile_rank_age_65_and_older,1
percentile_rank_age_17_and_younger,percentile_rank_age_17_and_younger,1
percentile_rank_disabled,percentile_rank_disabled,1
percentile_rank_single_parent_households,percentile_rank_single_parent_households,1
percentile_rank_household_comp_disability_theme,percentile_rank_household_comp_disability_theme,1
percentile_rank_minorities,percentile_rank_minorities,1
percentile_rank_limited_english_abilities,percentile_rank_limited_english_abilities,1
percentile_rank_minority_status_and_language_theme,percentile_rank_minority_status_and_language_theme,1
percentile_rank_multi_unit_housing,percentile_rank_multi_unit_housing,1
percentile_rank_mobile_homes,percentile_rank_mobile_homes,1
percentile_rank_overcrowding,percentile_rank_overcrowding,1
percentile_rank_no_vehicle,percentile_rank_no_vehicle,1
percentile_rank_institutionalized_in_group_quarters,percentile_rank_institutionalized_in_group_quarters,1
percentile_rank_housing_and_transportation,percentile_rank_housing_and_transportation,1
percentile_rank_social_vulnerability,percentile_rank_social_vulnerability,1
percent_overcrowding,overcrowding,0.999209616
